artista,estilo_musical,qnt_musicas,thumbnail,link_cifras,pais
Adilson Lopes,Gospel,3.0,"https://www.letras.com.br/arquivos/fotos/artistas/thumb1/545/54418,153692.jpg",https://www.cifras.com.br/adilson-lopes,Brasil
Dechris,Não Informada,1.0,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/dechris,Brasil
Deck Rock,Não Informada,8.0,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/deck-rock,Brasil
Gerlúcia Barros,Não Informada,1.0,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/gerlucia-barros,Brasil
Geovana Goetz,Não Informada,1.0,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/geovana-goetz,Brasil
Geovani Vilela,MPB,24.0,"https://www.letras.com.br/arquivos/fotos/artistas/thumb1/864/86392,194969.jpg",https://www.cifras.com.br/geovani-vilela,Brasil
O Boy da Seresta,Não Informada,1.0,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/o-boy-da-seresta,Brasil
Adri Schweiger,Gospel,8.0,"https://www.letras.com.br/arquivos/fotos/artistas/thumb1/909/90845,217488.jpg",https://www.cifras.com.br/adri-schweiger,Brasil
Jaison Lourenço de Almeida,Não Informada,1.0,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/jaison-lourenco-de-almeida,Brasil
Daniel Hérbem,Não Informada,3.0,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/daniel-herbem,Brasil
Daniel Hérbem,Não Informada,3.0,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/daniel-herbem,Brasil
Dan Tavares,Não Informada,1.0,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/dan-tavares,Brasil
Bakamarte,Não Informada,4.0,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/bakamarte,Brasil
Fabiana Abreu,Gospel,1.0,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/fabiana-abreu,Brasil
Banda Mundial,Gospel,6.0,"https://www.letras.com.br/arquivos/fotos/artistas/thumb1/721/72079,24328.jpg",https://www.cifras.com.br/banda-mundial,Brasil
Banda Carenagem,Não Informada,1.0,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/banda-carenagem,Brasil
Daniel Cellarius,Não Informada,1.0,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/daniel-cellarius,Brasil
Gang Jump,Rock'n Roll,2.0,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/gang-jump,Brasil
Felipe Cordeiro,Não Informada,3.0,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/felipe-cordeiro,Brasil
