"Title","Website","Time"
"Backwards","https://www.cifras.com.br/backwards","https://www.e-chords.com/t/f10.gif"
"Badfish","https://www.cifras.com.br/badfish","https://www.e-chords.com/t/f1.gif"
"Badlees","https://www.cifras.com.br/badlees","https://www.e-chords.com/t/f68.gif"
"Daisy Houston","https://www.cifras.com.br/daisy-houston","https://www.e-chords.com/t/f1.gif"
"Dale Evans","https://www.cifras.com.br/dale-evans","https://www.e-chords.com/t/f10.gif"
"Backseat","https://www.cifras.com.br/backseat","https://www.e-chords.com/t/f10.gif"
"Dala","https://www.cifras.com.br/dala","https://www.e-chords.com/t/f68.gif"
"Dalmi Junior","https://www.cifras.com.br/dalmi-junior","https://www.e-chords.com/t/f1.gif"
"Dalton Guedes","https://www.cifras.com.br/dalton-guedes","https://www.e-chords.com/t/f1.gif"
"A Barca do Sol","https://www.cifras.com.br/a-barca-do-sol","https://www.e-chords.com/t/f1.gif"
"A Cabana Sounds","https://www.cifras.com.br/a-cabana-sounds","https://www.e-chords.com/t/f1.gif"
"A Cordabamba","https://www.cifras.com.br/a-cordabamba","https://www.e-chords.com/t/f1.gif"
"A Cruviana","https://www.cifras.com.br/a-cruviana","https://www.e-chords.com/t/f1.gif"
"Bad Boys Shoes","https://www.cifras.com.br/bad-boys-shoes","https://www.e-chords.com/t/f68.gif"
