,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
127,"Pisadinha - Ao Vivo","Diego & Victor Hugo",770533,https://open.spotify.com/track/36P6ptTyxOggYgR2aoZiAl
128,"Xereca de Mel","Shevchenko e Elloco",767106,https://open.spotify.com/track/3csAhPJlNeCDnvuTdT8RQw
129,"Céu de pipa","MC Marks",763286,https://open.spotify.com/track/2DQ09MyIaXu5F1ly4MEvDM
130,Girassol,"Priscilla Alcantara",755664,https://open.spotify.com/track/22rcaYTa2UgcLCbeO0NoNj
131,"Tempo de Aprender / Energia Surreal / Não Pedi Pra Me Apaixonar - Ao Vivo","Grupo Menos É Mais",744759,https://open.spotify.com/track/3COVZV6VRP4sdXiWTB1XTM
132,"Bebê Vem Me Procurar","Os Barões Da Pisadinha",744125,https://open.spotify.com/track/4nyQshn0cfaRvvnu02Wcqn
133,"Fatalmente / Separação / Temporal - Ao Vivo","Grupo Menos É Mais",740702,https://open.spotify.com/track/0mpqoslgBvHcnbNZhK8wBO
134,"death bed (coffee for your head)",Powfu,740633,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
135,"Savage Love (Laxed - Siren Beat)","Jawsh 685",739357,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
136,BALANÇA,"WC no Beat",738867,https://open.spotify.com/track/1neg4NArvpVL7AOWIBja6q
137,"Gorilla Roxo",Matuê,738584,https://open.spotify.com/track/0bV0LtjtZH76gD0ujPYS3n
138,Señorita,"Shawn Mendes",737507,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
139,"Rain On Me (with Ariana Grande)","Lady Gaga",736427,https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9
140,"Deixa (feat. Ana Gabriela)",Lagum,733632,https://open.spotify.com/track/3fLqmaO4vvZpFZSZy52VMp
141,"Holy (feat. Chance The Rapper)","Justin Bieber",730507,https://open.spotify.com/track/5u1n1kITHCxxp8twBcZxWy
142,"Rave Na Praia","MC Teteu",730146,https://open.spotify.com/track/50YsV2XFugoMrqJK9Ttdly
143,"Ouvi Dizer",Melim,725454,https://open.spotify.com/track/1qCLx3nX25NuhfPjM5E1qV
144,"Breaking Me",Topic,716508,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
145,inesquecível,"GIULIA BE",703779,https://open.spotify.com/track/3bUDPTCStUeLcUgXgvepQh
146,"Break My Heart","Dua Lipa",700115,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT
147,Hawái,Maluma,696573,https://open.spotify.com/track/1yoMvmasuxZfqHEipJhRbp
148,"Vem Me Satisfazer","MC Ingryd",691300,https://open.spotify.com/track/63SHcJzckFykS8faA5zojY
149,"Tiro Certo - Ao Vivo","Zé Felipe",689394,https://open.spotify.com/track/5MArTXEVyKBwoodjdy04fk
150,"On & On",Alok,687707,https://open.spotify.com/track/7sYAS4CpbV90oSemgaEQat
151,"Um Pedido","Hungria Hip Hop",685925,https://open.spotify.com/track/3CgZi8DMUftJHK6WL2gKc1
152,"Tão Linda","Atitude 67",684746,https://open.spotify.com/track/59WWulo1LM0njpIkcduCMn
153,"Revoada do Tubarão","MC Ryan SP",682536,https://open.spotify.com/track/0C1cJj3ZNCS75sojrcMhZV
154,"Tijolão - Ao Vivo","Jorge & Mateus",682329,https://open.spotify.com/track/6QwFUcPc5nhsqZuhXUYtV7
155,Cabaré,"Dj Guuga",682274,https://open.spotify.com/track/0N2cvvlyEw5NFc00E3FB0D
156,"Os Boys Amam O Ex Chora","Jerry Smith",676638,https://open.spotify.com/track/2o8MYdtYZYidgpe9oIGIcy
157,"Vergonha pra Midia","Salvador Da Rima",674933,https://open.spotify.com/track/5JsxHA8NttHWThpTCToK1J
158,"Tudo de bom",Pk,674222,https://open.spotify.com/track/3YqLyRFwjGuPBT7EHoyQH7
159,"Piece Of Your Heart - Alok Remix",MEDUZA,671188,https://open.spotify.com/track/6iW38RGqdDGOofmz2HeXLW
160,"Pra Você Guardei O Amor","Nando Reis",670240,https://open.spotify.com/track/1EQ8sBQ7Abv9DvNBzhXAcv
161,"Put Your Records On","Ritt Momney",668557,https://open.spotify.com/track/6AGOKlMZWLCaEJGnaROtF9
162,Heather,"Conan Gray",668527,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA
163,"Deixa Tudo Como Tá - Ao Vivo",Thiaguinho,666611,https://open.spotify.com/track/0abrd2vT2W3JZBDNezUY7r
164,Recaída,"Grupo Menos É Mais",666032,https://open.spotify.com/track/49rtHPYe4eny7j1sbDrm8j
165,"Lençol Dobrado","João Gustavo e Murilo",665651,https://open.spotify.com/track/72xB2J9ZeBl0Rzxq2XmzdY
166,"Ta Apaixonado Babaca","Dj Guuga",664241,https://open.spotify.com/track/7N3BrHFlnZbOs8lPGPg1gg
167,"Quem me Colocou pra Beber - Ao Vivo","Os Barões Da Pisadinha",662888,https://open.spotify.com/track/6zL1L3AQ50x7qeQUbtXMpM
