,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
186,Deboche,"Mc Davi",627845,https://open.spotify.com/track/1ZW2jCyFX0WrZfIJjkWq3j
187,"I WANNA BE YOUR SLAVE",Måneskin,623062,https://open.spotify.com/track/4pt5fDVTg5GhEvEtlz9dKk
188,Distribuidora,"Mad Dogz",619942,https://open.spotify.com/track/2xUOk5WqUDfHyOBZbAc8ou
189,"Bilhete Premiado",Gabily,618791,https://open.spotify.com/track/7Ark5JFItgqWf9DlizoxuV
190,Arcade,"Duncan Laurence",615920,https://open.spotify.com/track/1J14CdDAvBTE1AJYUOwl6C
191,"Meu Abrigo",Melim,612188,https://open.spotify.com/track/5U28PY9MekLyCBYtLHGQpe
192,"Carinha de BBzinha","Anderson Rodrigues",611469,https://open.spotify.com/track/1iCkf1LWDAc2HMZbtq3hd7
193,"Uma Cavala Mesmo","MC Meno K",610258,https://open.spotify.com/track/1bK6UaFcArJvIaMeKPTFSm
194,"Nem Doeu - Ao Vivo","Matheus & Kauan",608658,https://open.spotify.com/track/260n4ECk9j4IEvTAVBYojl
195,"Acertou na Mosca",Tierry,607505,https://open.spotify.com/track/3w4RBPBd4cBwcGvK26deQO
196,777-666,Matuê,605056,https://open.spotify.com/track/3sGcETRMuAgcPgjDpIkgMn
197,"Short Jeans - Ao Vivo","Hugo Henrique",604788,https://open.spotify.com/track/78G6jgpMdzSEiBPkBLWi9S
198,"Máquina do Tempo",Matuê,600699,https://open.spotify.com/track/5oI9blwsXC8AkTWw6wASY8
199,"A Casa É Sua","Casa Worship",598838,https://open.spotify.com/track/3h3fui1QXImL2zRcs9v2Lc
200,"De Menina pra Mulher - Ao Vivo","Gusttavo Lima",594885,https://open.spotify.com/track/7snoDTJeoJ2oVMhf7eoF3t
